timestamp,errors,critical,warning
2026-02-26  12:47:43,       2,       0,       0
2026-02-26  12:49:35,       2,       0,       0
2026-02-26  12:51:07,       2,       0,       0
2026-02-26  12:51:33,       2,       0,       0
2026-02-26  12:51:45,       2,       0,       0
2026-02-26  12:52:02,       2,       0,       0
2026-02-26  12:52:53,       2,       0,       0
2026-02-26  12:53:07,       2,       0,       0
2026-02-26  12:53:26,       2,       0,       0
2026-02-26  12:53:46,       2,       0,       0
2026-02-26  12:54:01,       2,       0,       0
2026-02-26  12:57:19,       2,       0,       0
2026-02-26  13:12:00,       2,       0,       0
